ks,sample_size,rmse,mae
5,25920,1.265842964389275,0.981730620021636
15,25920,1.2497767448900736,0.9772245952906332
25,25920,1.2492436930798743,0.9769354890038726
35,25920,1.2487579368919317,0.9765872190829058
45,25920,1.2484733227621667,0.976363409145222
55,25920,1.248472395154507,0.9763524617648475
